week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
34,2000,mill creek,MLM,CDEC,mill creek,temperature,min,18.166666666666668
35,2000,mill creek,MLM,CDEC,mill creek,temperature,max,21.611111111111114
35,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,19.06084656084656
35,2000,mill creek,MLM,CDEC,mill creek,temperature,min,16.555555555555557
36,2000,mill creek,MLM,CDEC,mill creek,temperature,max,18.88888888888889
36,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,16.27777777777778
36,2000,mill creek,MLM,CDEC,mill creek,temperature,min,14.38888888888889
37,2000,mill creek,MLM,CDEC,mill creek,temperature,max,21
37,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,18.328373015873016
37,2000,mill creek,MLM,CDEC,mill creek,temperature,min,16.166666666666668
38,2000,mill creek,MLM,CDEC,mill creek,temperature,max,21.999999999999996
38,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,19.71924603174603
38,2000,mill creek,MLM,CDEC,mill creek,temperature,min,17.5
39,2000,mill creek,MLM,CDEC,mill creek,temperature,max,18.333333333333332
39,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,16.474537037037038
39,2000,mill creek,MLM,CDEC,mill creek,temperature,min,14.5
40,2000,mill creek,MLM,CDEC,mill creek,temperature,max,19.333333333333332
40,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,16.972222222222225
40,2000,mill creek,MLM,CDEC,mill creek,temperature,min,14.777777777777779
41,2000,mill creek,MLM,CDEC,mill creek,temperature,max,17.22222222222222
41,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,14.470238095238093
41,2000,mill creek,MLM,CDEC,mill creek,temperature,min,12.555555555555555
42,2000,mill creek,MLM,CDEC,mill creek,temperature,max,14.333333333333334
42,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,13.240079365079364
42,2000,mill creek,MLM,CDEC,mill creek,temperature,min,12.277777777777779
43,2000,mill creek,MLM,CDEC,mill creek,temperature,max,12.722222222222221
43,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,11.044973544973546
43,2000,mill creek,MLM,CDEC,mill creek,temperature,min,9.444444444444445
44,2000,mill creek,MLM,CDEC,mill creek,temperature,max,11.666666666666666
44,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,10.353174603174605
44,2000,mill creek,MLM,CDEC,mill creek,temperature,min,9.055555555555554
45,2000,mill creek,MLM,CDEC,mill creek,temperature,max,11.333333333333334
45,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,9.543981481481481
45,2000,mill creek,MLM,CDEC,mill creek,temperature,min,7.5
46,2000,mill creek,MLM,CDEC,mill creek,temperature,max,7.6111111111111125
46,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,5.7519841269841265
46,2000,mill creek,MLM,CDEC,mill creek,temperature,min,4.777777777777779
47,2000,mill creek,MLM,CDEC,mill creek,temperature,max,7.5
47,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,6.161044973544975
47,2000,mill creek,MLM,CDEC,mill creek,temperature,min,4.8888888888888875
48,2000,mill creek,MLM,CDEC,mill creek,temperature,max,10.111111111111112
48,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,8.311838624338625
48,2000,mill creek,MLM,CDEC,mill creek,temperature,min,6.722222222222223
49,2000,mill creek,MLM,CDEC,mill creek,temperature,max,8.777777777777777
49,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,7.46957671957672
49,2000,mill creek,MLM,CDEC,mill creek,temperature,min,6.4444444444444455
50,2000,mill creek,MLM,CDEC,mill creek,temperature,max,9.555555555555557
50,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,8.235223475355054
50,2000,mill creek,MLM,CDEC,mill creek,temperature,min,7.3888888888888875
51,2000,mill creek,MLM,CDEC,mill creek,temperature,max,8.61111111111111
51,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,6.7873677248677255
51,2000,mill creek,MLM,CDEC,mill creek,temperature,min,5.277777777777778
52,2000,mill creek,MLM,CDEC,mill creek,temperature,max,8.055555555555555
52,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,6.363425925925926
52,2000,mill creek,MLM,CDEC,mill creek,temperature,min,5.38888888888889
53,2000,mill creek,MLM,CDEC,mill creek,temperature,max,6.333333333333332
53,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,5.847222222222222
53,2000,mill creek,MLM,CDEC,mill creek,temperature,min,5.38888888888889
1,2001,mill creek,MLM,CDEC,mill creek,temperature,max,6.833333333333332
1,2001,mill creek,MLM,CDEC,mill creek,temperature,mean,6.169642857142857
1,2001,mill creek,MLM,CDEC,mill creek,temperature,min,5.38888888888889
2,2001,mill creek,MLM,CDEC,mill creek,temperature,max,7.666666666666665
2,2001,mill creek,MLM,CDEC,mill creek,temperature,mean,6.785383597883597
2,2001,mill creek,MLM,CDEC,mill creek,temperature,min,5.499999999999999
