date,stream,site_group,gage_agency,gage_number,statistic,value
1998-12-29,feather river,upper feather lfc,interpolated,interpolated,max,5.197109567496704
1998-12-29,feather river,upper feather lfc,interpolated,interpolated,min,5.4102532531779755
1998-12-30,feather river,upper feather lfc,interpolated,interpolated,mean,5.583337486081675
1998-12-30,feather river,upper feather lfc,interpolated,interpolated,max,5.197652753765898
1998-12-30,feather river,upper feather lfc,interpolated,interpolated,min,5.410665658552818
1998-12-31,feather river,upper feather lfc,interpolated,interpolated,mean,5.908042515272097
1998-12-31,feather river,upper feather lfc,interpolated,interpolated,max,5.424461052062391
1998-12-31,feather river,upper feather lfc,interpolated,interpolated,min,5.811254911800869
1999-01-01,feather river,upper feather lfc,interpolated,interpolated,mean,5.80039782858087
1999-01-01,feather river,upper feather lfc,interpolated,interpolated,max,5.425004238331585
1999-01-01,feather river,upper feather lfc,interpolated,interpolated,min,5.611578893239109
1999-01-02,feather river,upper feather lfc,interpolated,interpolated,mean,5.692753141889641
1999-01-02,feather river,upper feather lfc,interpolated,interpolated,max,5.425547424600779
1999-01-02,feather river,upper feather lfc,interpolated,interpolated,min,5.411902874677349
1999-01-03,feather river,upper feather lfc,interpolated,interpolated,mean,5.801283313139239
1999-01-03,feather river,upper feather lfc,interpolated,interpolated,max,5.426090610869974
1999-01-03,feather river,upper feather lfc,interpolated,interpolated,min,5.612403703988795
1999-01-04,feather river,upper feather lfc,interpolated,interpolated,mean,5.801726055418424
1999-01-04,feather river,upper feather lfc,interpolated,interpolated,max,5.426633797139168
1999-01-04,feather river,upper feather lfc,interpolated,interpolated,min,5.612816109363639
1999-01-05,feather river,upper feather lfc,interpolated,interpolated,mean,5.47790651078637
1999-01-05,feather river,upper feather lfc,interpolated,interpolated,max,4.974646759353766
1999-01-05,feather river,upper feather lfc,interpolated,interpolated,min,5.413140090801878
1999-01-06,feather river,upper feather lfc,interpolated,interpolated,mean,5.586436682035966
1999-01-06,feather river,upper feather lfc,interpolated,interpolated,max,4.975189945622961
1999-01-06,feather river,upper feather lfc,interpolated,interpolated,min,5.613640920113326
1999-01-07,feather river,upper feather lfc,interpolated,interpolated,mean,5.586879424315152
1999-01-07,feather river,upper feather lfc,interpolated,interpolated,max,4.975733131892155
1999-01-07,feather river,upper feather lfc,interpolated,interpolated,min,5.614053325488168
1999-01-08,feather river,upper feather lfc,interpolated,interpolated,mean,5.479234737623924
1999-01-08,feather river,upper feather lfc,interpolated,interpolated,max,5.202541430188647
1999-01-08,feather river,upper feather lfc,interpolated,interpolated,min,5.2142888829898055
1999-01-09,feather river,upper feather lfc,interpolated,interpolated,mean,5.479677479903108
1999-01-09,feather river,upper feather lfc,interpolated,interpolated,max,4.976819504430543
1999-01-09,feather river,upper feather lfc,interpolated,interpolated,min,5.4147897123012525
1999-01-10,feather river,upper feather lfc,interpolated,interpolated,mean,5.588207651152706
1999-01-10,feather river,upper feather lfc,interpolated,interpolated,max,4.977362690699738
1999-01-10,feather river,upper feather lfc,interpolated,interpolated,min,5.6152905416126995
1999-01-11,feather river,upper feather lfc,interpolated,interpolated,mean,5.588650393431891
1999-01-11,feather river,upper feather lfc,interpolated,interpolated,max,5.204170988996229
1999-01-11,feather river,upper feather lfc,interpolated,interpolated,min,5.415614523050939
1999-01-12,feather river,upper feather lfc,interpolated,interpolated,mean,5.697180564681488
1999-01-12,feather river,upper feather lfc,interpolated,interpolated,max,5.430979287292722
1999-01-12,feather river,upper feather lfc,interpolated,interpolated,min,5.416026928425782
1999-01-13,feather river,upper feather lfc,interpolated,interpolated,mean,5.913798164901498
1999-01-13,feather river,upper feather lfc,interpolated,interpolated,max,5.6577875855892135
1999-01-13,feather river,upper feather lfc,interpolated,interpolated,min,5.616527757737229
1999-01-14,feather river,upper feather lfc,interpolated,interpolated,mean,5.914240907180683
1999-01-14,feather river,upper feather lfc,interpolated,interpolated,max,5.43206565983111
1999-01-14,feather river,upper feather lfc,interpolated,interpolated,min,5.817028587048676
1999-01-15,feather river,upper feather lfc,interpolated,interpolated,mean,6.3470333653415185
1999-01-15,feather river,upper feather lfc,interpolated,interpolated,max,5.8851390701549
1999-01-15,feather river,upper feather lfc,interpolated,interpolated,min,6.217617840296727
1999-01-16,feather river,upper feather lfc,interpolated,interpolated,mean,6.887913252472766
1999-01-16,feather river,upper feather lfc,interpolated,interpolated,max,6.338212480478689
1999-01-16,feather river,upper feather lfc,interpolated,interpolated,min,6.8182955174813795
1999-01-17,feather river,upper feather lfc,interpolated,interpolated,mean,6.996443423722365
