week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
13,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.41936460279761
14,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,15.336368073083335
14,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.915043411999571
14,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.69715105516098
15,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,15.005220568181304
15,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.783633765418017
15,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.973591372627318
16,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,15.665951029407164
16,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.129962404571648
16,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.695131852815432
17,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,16.327182146178046
17,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,14.304207043652118
17,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.972469593546458
18,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,17.319060112305937
18,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,15.086755397033981
18,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.97190870400603
19,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,16.657140594160644
19,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,14.063148655250037
19,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.692551760929458
20,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,17.64883081445915
20,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.909978103907449
20,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.691990871389027
21,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,19.96392199744635
21,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,17.434400457179567
21,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,14.192742010107862
22,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,19.302190225130435
22,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,16.933055429660435
22,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,13.91349724493938
23,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,19.632461582828675
23,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,17.128059354494386
23,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,14.4683970822176
24,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,21.61640526091384
24,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,17.93236861263728
24,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,14.190386274038058
25,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,21.946801782498333
25,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,19.541831346938427
25,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,16.69035216740029
26,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,23.269451761869487
