date,value,stream,site_group,gage_agency,gage_number,parameter,statistic
1969-07-15,2552,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-16,2520,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-17,2492,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-18,2491,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-19,2480,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-20,2480,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-21,2500,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-22,2520,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-23,3350,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-24,3850,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-25,4020,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-26,4000,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-27,3980,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-28,4010,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-29,4010,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-30,4020,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-31,4010,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-01,4000,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-02,3980,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-03,3950,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-04,4550,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-05,5691,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-06,5882,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-07,6110,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-08,6510,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-09,6150,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-10,5550,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-11,6160,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-12,6540,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-13,6500,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-14,6500,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-15,6500,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-16,6460,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-17,6460,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-18,6560,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-19,6580,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-20,6550,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-21,6530,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-22,6530,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-23,6500,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-24,6480,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-25,6545,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-26,6552,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-27,6552,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-28,6552,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-29,6552,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-30,6512,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-08-31,6452,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-01,6452,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-02,6542,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-03,6562,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-04,6552,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-05,6542,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-06,6522,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-07,6452,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-08,6492,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-09,6492,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-10,6522,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-11,6492,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-12,6492,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-13,6492,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-14,6462,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-15,6532,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-16,6561,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-17,6561,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-18,6581,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-19,6552,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-20,6492,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-21,6482,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-22,6541,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-23,6511,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-24,6511,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
