"FishID","ch","StudyID","fish_length","fish_weight","fish_type","fish_release_date","release_location","fish_k","year","rl","WY2","WY3","firstCap","length.z","weight.z","k.z","lastCap","dist_rlwoodson","dist_woodsonbutte","dist_buttesac","dist_sacdelta","dist_rlwoodson.z","dist_woodsonbutte.z","dist_buttesac.z","dist_sacdelta.z"
"CFC2013-074",11100,"ColemanFall_2013",83,6,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00104934180035573,2013,"1S",0,1,1,-0.630231164860216,-0.839326482710668,-0.991744745347752,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-075",11100,"ColemanFall_2013",84,6.78,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00114390994493035,2013,"1S",0,1,1,-0.468303485950209,-0.43737828877731,-0.0137153340996664,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-076",11000,"ColemanFall_2013",92,7.9,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.00101452699926029,2013,"1S",0,1,1,0.827117945329845,0.139778092255204,-1.3518015019993,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-077",11000,"ColemanFall_2013",83,6,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.00104934180035573,2013,"1S",0,1,1,-0.630231164860216,-0.839326482710668,-0.991744745347752,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-078",10000,"ColemanFall_2013",81,6.58,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.00123814308643857,2013,"1S",0,1,1,-0.954086522680229,-0.540441928247402,0.960849455385232,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-079",10000,"ColemanFall_2013",91,7.6,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.00100853137925955,2013,"1S",0,1,1,0.665190266419838,-0.0148173669499341,-1.41380856289457,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-080",10000,"ColemanFall_2013",86,6,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.000943313167394066,2013,"1S",0,1,1,-0.144448128130196,-0.839326482710668,-2.08829921342353,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-081",11000,"ColemanFall_2013",84,6,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.00101230968577907,2013,"1S",0,1,1,-0.468303485950209,-0.839326482710668,-1.3747330907319,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-082",10100,"ColemanFall_2013",93,9.4,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.00116863531988905,2013,"1S",0,1,1,0.989045624239852,0.912755388280892,0.241995973577143,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-083",10000,"ColemanFall_2013",84,6.1,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.00102918151387539,2013,"1S",0,1,1,-0.468303485950209,-0.787794662975622,-1.20024363475338,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-084",10000,"ColemanFall_2013",81,6.2,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.00116663938235853,2013,"1S",0,1,1,-0.954086522680229,-0.736262843240576,0.221353868176394,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-085",11100,"ColemanFall_2013",84,6,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.00101230968577907,2013,"1S",0,1,1,-0.468303485950209,-0.839326482710668,-1.3747330907319,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-086",10100,"ColemanFall_2013",86,6.2,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.000974756939640535,2013,"1S",0,1,1,-0.144448128130196,-0.736262843240576,-1.7631058388896,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-087",11111,"ColemanFall_2013",83,6.2,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.00108431986036758,2013,"1S",0,1,1,-0.630231164860216,-0.736262843240576,-0.629999555211379,5,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-088",11100,"ColemanFall_2013",84,6,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.00101230968577907,2013,"1S",0,1,1,-0.468303485950209,-0.839326482710668,-1.3747330907319,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-089",11000,"ColemanFall_2013",88,7.2,"CNFH Fall Chinook","4/10/2013 11:20:00","BattleCk_CNFH_Rel",0.00105653643876784,2013,"1S",0,1,1,0.179407229689818,-0.220944645890117,-0.917337364278891,2,91.8,88,170,110,0.918,0.88,1.7,1.1
