year,run_year,week,stream,site,number_released,number_recaptured,standardized_log_efficiency_flow,log_flow_cfs
2018,2018,12,feather river,herringer riffle,1249,17,-0.22674356114738392,0
2018,2018,13,feather river,eye riffle,367,19,-0.2308002710855685,0
2018,2018,13,feather river,herringer riffle,507,0,-0.22674356114738392,0
2018,2018,17,feather river,herringer riffle,28,0,-0.22674356114738392,0
2018,2018,19,feather river,herringer riffle,73,3,-0.22674356114738392,0
2019,2019,1,feather river,eye riffle,500,21,-0.2308002710855685,0
2019,2019,2,feather river,eye riffle,1350,34,-0.2308002710855685,0
2019,2019,2,feather river,herringer riffle,1662,42,-0.22674356114738392,0
2019,2019,3,feather river,eye riffle,1512,15,-0.2308002710855685,0
2019,2019,3,feather river,herringer riffle,2175,16,-0.22674356114738392,0
2019,2019,4,feather river,eye riffle,3065,143,-0.2308002710855685,0
2019,2019,4,feather river,herringer riffle,3018,122,-0.22674356114738392,0
2019,2019,5,feather river,eye riffle,2986,142,-0.2308002710855685,0
2019,2019,5,feather river,herringer riffle,3015,107,-0.22674356114738392,0
2019,2019,6,feather river,eye riffle,3578,169,-0.2308002710855685,0
2019,2019,6,feather river,herringer riffle,3838,126,-0.22674356114738392,0
2019,2019,7,feather river,eye riffle,1869,52,-0.2308002710855685,0
2019,2019,7,feather river,herringer riffle,2607,46,-0.22674356114738392,0
2019,2019,8,feather river,eye riffle,2151,119,-0.2308002710855685,0
2019,2019,8,feather river,herringer riffle,2705,46,-0.22674356114738392,0
2019,2019,9,feather river,eye riffle,2279,16,-0.2308002710855685,0
2019,2019,9,feather river,herringer riffle,1766,2,-0.22674356114738392,0
2019,2019,12,feather river,eye riffle,157,2,-0.2308002710855685,0
2020,2020,2,feather river,herringer riffle,40,0,-0.22674356114738392,0
2020,2020,3,feather river,herringer riffle,658,15,-0.22674356114738392,0
2020,2020,4,feather river,eye riffle,1061,28,-0.2308002710855685,0
2020,2020,4,feather river,herringer riffle,148,6,-0.22674356114738392,0
2020,2020,5,feather river,eye riffle,1568,32,-0.2308002710855685,0
2020,2020,5,feather river,herringer riffle,642,7,-0.22674356114738392,0
2020,2020,6,feather river,eye riffle,1772,44,-0.2308002710855685,0
2020,2020,6,feather river,herringer riffle,1890,75,-0.22674356114738392,0
2020,2020,7,feather river,eye riffle,3353,141,-0.2308002710855685,0
