year,week,stream,site,count,mean_fork_length,hours_fished,flow_cfs,run_year
2001,7,feather river,live oak,37754,37.264150943396224,168,1751.4285714285713,2001
2001,8,feather river,eye riffle,27892,36.93103448275862,168,746,2001
2001,8,feather river,live oak,40861,36.78181818181818,168,1757.4285714285713,2001
2001,9,feather river,eye riffle,12580,36.30909090909091,168,738.8571428571429,2001
2001,9,feather river,live oak,24849,36.79245283018868,168,1748.857142857143,2001
2001,10,feather river,eye riffle,5550,35.81818181818182,168,736.8571428571429,2001
2001,10,feather river,live oak,23154,37.38461538461539,168,1745.4285714285713,2001
2001,11,feather river,eye riffle,2182,37.96666666666667,168,740.4285714285714,2001
2001,11,feather river,live oak,7714,35.92307692307692,168,1813.2857142857142,2001
2001,12,feather river,eye riffle,277,38.46666666666667,168,736.1428571428571,2001
2001,12,feather river,live oak,819,37.94871794871795,168,1874.7142857142858,2001
2001,13,feather river,eye riffle,171,39.87301587301587,168,729.4285714285714,2001
2001,13,feather river,live oak,213,39.53333333333333,168,1862.2857142857142,2001
2001,14,feather river,eye riffle,79,47.82142857142857,168,739.2857142857143,2001
2001,14,feather river,live oak,98,39.46,168,1603.5714285714287,2001
2001,15,feather river,eye riffle,60,48.83870967741935,168,737.5714285714286,2001
2001,15,feather river,live oak,1312,58.907407407407405,168,1168.7142857142858,2001
2001,16,feather river,eye riffle,28,61.55555555555556,168,737.7142857142857,2001
2001,16,feather river,live oak,1619,63.416058394160586,168,1254.142857142857,2001
2001,17,feather river,eye riffle,18,58.94117647058823,168,738.1428571428571,2001
2001,17,feather river,live oak,629,67.25773195876289,168,1368.2857142857142,2001
2001,18,feather river,eye riffle,13,59.69230769230769,168,728.1428571428571,2001
2001,18,feather river,live oak,705,70.85714285714286,168,1333.2857142857142,2001
2001,19,feather river,eye riffle,9,49.75,168,729.1428571428571,2001
2001,19,feather river,live oak,723,73.25742574257426,168,1472.2857142857142,2001
2001,20,feather river,eye riffle,1,76,168,725.4285714285714,2001
2001,20,feather river,live oak,38,76.51851851851852,168,2043.2857142857142,2001
2001,21,feather river,eye riffle,1,56,168,722.8571428571429,2001
2001,21,feather river,live oak,89,79.09302325581395,168,2121.4285714285716,2001
2001,22,feather river,eye riffle,6,74.66666666666667,168,725.8571428571429,2001
2001,22,feather river,live oak,0,NA,168,3167.285714285714,2001
2001,23,feather river,eye riffle,6,74.66666666666667,168,729.2857142857143,2001
2001,23,feather river,live oak,0,NA,168,2772.1428571428573,2001
2001,24,feather river,eye riffle,14,75.58333333333333,168,727.7142857142857,2001
2001,24,feather river,live oak,0,NA,168,1953.4285714285713,2001
2001,25,feather river,eye riffle,5,85,168,734.1428571428571,2001
2001,25,feather river,live oak,1,116,168,2021.2857142857142,2001
2001,26,feather river,eye riffle,NA,NA,NA,736,2001
2001,26,feather river,live oak,NA,NA,NA,2024.5714285714287,2001
2001,27,feather river,eye riffle,NA,NA,NA,815.7142857142857,2001
2001,27,feather river,live oak,NA,NA,NA,2017.142857142857,2001
2001,28,feather river,eye riffle,NA,NA,NA,837.7142857142857,2001
2001,28,feather river,live oak,NA,NA,NA,2019.142857142857,2001
2001,29,feather river,eye riffle,NA,NA,NA,787.8571428571429,2001
2001,29,feather river,live oak,NA,NA,NA,2023.5714285714287,2001
2001,30,feather river,eye riffle,NA,NA,NA,835.5714285714286,2001
2001,30,feather river,live oak,NA,NA,NA,2031.2857142857142,2001
2001,31,feather river,eye riffle,NA,NA,NA,775,2001
2001,31,feather river,live oak,NA,NA,NA,2452.1428571428573,2001
2001,32,feather river,eye riffle,NA,NA,NA,810,2001
2001,32,feather river,live oak,NA,NA,NA,2541.4285714285716,2001
2001,33,feather river,eye riffle,NA,NA,NA,798.1428571428571,2001
2001,33,feather river,live oak,NA,NA,NA,2195.285714285714,2001
