stream,site,release_id,date_released,time_released,site_released,subsite_released,number_released,median_fork_length_released,origin_released,run_released,lifestage_released,source_released,days_held_post_mark,flow_at_release,temperature_at_release,turbidity_at_release,include,week_released,year_released,night_release
feather river,upper feather hfc,504,2014-01-29,21:00:00,upper feather hfc,herringer release boxes,500,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather hfc,505,2014-01-30,10:23:00,upper feather hfc,next to herringer release boxes,543,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,506,2014-02-05,21:00:00,upper feather hfc,herringer release boxes,499,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather hfc,507,2014-02-06,14:29:00,upper feather hfc,next to herringer release boxes,559,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,508,2014-02-05,21:00:00,upper feather lfc,gateway release boxes,545,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather lfc,509,2014-02-06,11:37:00,upper feather lfc,next to gateway release boxes,593,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,510,2014-02-12,14:30:00,upper feather hfc,next to herringer release boxes,492,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,511,2014-02-13,21:00:00,upper feather hfc,herringer release boxes,500,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather lfc,512,2014-02-12,12:11:00,upper feather lfc,next to gateway release boxes,497,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,513,2014-02-13,21:00:00,upper feather lfc,gateway release boxes,551,NA,natural,fall,not recorded,herringer riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather hfc,514,2011-01-11,12:00:00,upper feather hfc,not recorded,499,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
