record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,
T,4.1,10/31/2014,CDFW,CDFW,8,060580,12,,,,,1,3,2013,5/23/2014,5/24/2014,6MOSFMAR NET,6FCSAAMN NBFH,6FCSAAMN,V,H,P,FR,8.39,,N,5000,279616,,,0,838335,,,C,,25,857,,,MARE ISLAND NET PEN,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,CECA,SFBA,N,0.250114719
T,4.1,10/31/2014,CDFW,CDFW,8,060581,12,,,,,1,3,2013,5/8/2014,5/9/2014,6MOSFMAR NET,6FCSAAMN NBFH,6FCSAAMN,V,H,P,FR,8.03,,N,5000,301628,,,5000,320,0,904202,C,,17,946,,,MARE ISLAND NET PEN,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,CECA,SFBA,N,0.250075032
T,4.1,8/3/2006,CDFW,CDFW,8,060303,0,,,,,1,3,1975,197605,197606,6FCSASAF RBDD,6FCSABAT CNFH,6FCSABAT,G,H,B,,3.02,,N,5000,135210,,,0,392954,,,,,,,,,SAC R RED BLUFF DIV DAM,COLEMAN NFH,BATTLE CREEK BELOW CNFH,CA,SAFA,SACR,C,0.25600003
T,4.1,7/16/2009,CDFW,CDWR,8,062448,12,,,,,1,3,2005,5/24/2006,5/24/2006,6MOSFROD SELBWIC,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,E,FR,3.8,73,N,5000,57934,,,5000,292,,,,0.005,6,202,,UPDATED RELEASE LOCATION,WICKLAND OIL TERMINAL,FEATHER R HATCHERY,FEATHER R HATCHERY,CA,CECA,SFBA,N,0.990010133
T,4.1,7/16/2009,CDFW,CDWR,8,062449,12,,,,,1,3,2005,5/24/2006,5/24/2006,6MOSFROD SELBWIC,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,E,FR,3.8,73,N,5000,57718,,,5000,291,,,,0.005,6,202,,UPDATED RELEASE LOCATION,WICKLAND OIL TERMINAL,FEATHER R HATCHERY,FEATHER R HATCHERY,CA,CECA,SFBA,N,0.990008619
T,4.1,8/3/2006,CDFW,CDFW,8,066017,0,,,,,1,3,1980,5/18/1981,5/18/1981,6FCSASAF RBDD,6FCSABAT CNFH,6FCSABAT,G,H,E,,5.53,,N,5000,84967,,,5000,16510,,,,0.1627,52,,,,SAC R RED BLUFF DIV DAM,COLEMAN NFH,BATTLE CREEK BELOW CNFH,CA,SAFA,SACR,C,0.701073831
T,4.1,7/16/2009,CDFW,CDWR,8,062450,12,,,,,1,3,2005,5/24/2006,5/24/2006,6MOSFROD SELBWIC,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,E,FR,3.8,73,N,5000,57655,,,5000,145,,,,0.0025,6,202,,UPDATED RELEASE LOCATION,WICKLAND OIL TERMINAL,FEATHER R HATCHERY,FEATHER R HATCHERY,CA,CECA,SFBA,N,0.994997621
T,4.1,7/16/2009,CDFW,CDWR,8,062451,12,,,,,1,3,2005,5/24/2006,5/24/2006,6MOSFROD SELBWIC,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,E,FR,3.8,73,N,5000,57768,,,,,,,,0,6,207,,UPDATED RELEASE LOCATION,WICKLAND OIL TERMINAL,FEATHER R HATCHERY,FEATHER R HATCHERY,CA,CECA,SFBA,N,1
T,4.1,7/16/2009,CDFW,USFWS,8,062312,12,,,,,1,3,2005,5/24/2006,5/24/2006,6MOSFROD SELBWIC,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,B,FR,3.8,73,N,5000,13001,,,5000,198,,,,0.0146,9,200,,UPDATED RELEASE LOCATION,WICKLAND OIL TERMINAL,FEATHER R HATCHERY,FEATHER R HATCHERY,CA,CECA,SFBA,N,0.97061788
T,4.1,8/3/2006,CDFW,CDFW,8,060304,0,,,,,1,3,1975,197605,197606,6FCSASAF RBDD,6FCSABAT CNFH,6FCSABAT,G,H,B,,3.34,,N,5000,166331,,,0,419342,,,,,,,,,SAC R RED BLUFF DIV DAM,COLEMAN NFH,BATTLE CREEK BELOW CNFH,CA,SAFA,SACR,C,0.283999775
